开课学院,课程号,课程名,班级序号,教师名,学分,开课校区,教室类型,时间1,时间2,时间3,上课容量,主干课程
财税与公共管理学院,15043,公共经济学,A01,丁美东,3,蛟桥园校区, 多媒体,3-567,,,40,1
财税与公共管理学院,15043,公共经济学,A02,丁美东,3,蛟桥园校区, 多媒体,3-89A,,,40,1
财税与公共管理学院,15063,管理定量分析,A01,熊小刚,3,蛟桥园校区, 多媒体,3-89A,,,60,0
财税与公共管理学院,15074,纳税检查实务,A01,朱门添,4,蛟桥园校区, 多媒体,3-1234,,,78,1
财税与公共管理学院,15074,纳税检查实务,A02,朱门添,4,蛟桥园校区, 多媒体,4-1234,,,78,1
财税与公共管理学院,15074,纳税检查实务,A03,朱门添,4,蛟桥园校区, 多媒体,5-1234,,,76,1
财税与公共管理学院,15163,公共项目评估,A01,廖少纲,3,蛟桥园校区, 多媒体,2-567,,,60,1
财税与公共管理学院,15163,公共项目评估,A02,廖少纲,3,蛟桥园校区, 多媒体,3-89A,,,60,1
财税与公共管理学院,15242,公共政策,A01,杨道田,2,蛟桥园校区, 多媒体,2-12,,,30,1
财税与公共管理学院,15242,公共政策,A02,杨道田,2,蛟桥园校区, 多媒体,2-34,,,30,1
财税与公共管理学院,15263,财政学,A07,罗晓华,3,蛟桥园校区, 多媒体,1-567,,,103,1
财税与公共管理学院,15263,财政学,A08,程岚,3,蛟桥园校区, 多媒体,3-123,,,103,1
财税与公共管理学院,15263,财政学,A09,舒成,3,蛟桥园校区, 多媒体,4-567,,,103,1
财税与公共管理学院,15263,财政学,A10,肖建华,3,蛟桥园校区, 多媒体,4-123,,,55,1
财税与公共管理学院,15282,社会保障学,A01,赵万水,2,蛟桥园校区, 多媒体,4-12,,,0,0
财税与公共管理学院,15283,税法,A01,邱慈孙,3,蛟桥园校区, 多媒体,3-89A,,,110,1
财税与公共管理学院,15283,税法,A02,伍云峰,3,蛟桥园校区, 多媒体,1-567,,,76,1
财税与公共管理学院,15283,税法,A03,邱慈孙,3,蛟桥园校区, 多媒体,4-567,,,76,1
财税与公共管理学院,15283,税法,A04,徐建斌,3,蛟桥园校区, 多媒体,1-89A,,,76,1
财税与公共管理学院,15283,税法,A05,伍红1,3,蛟桥园校区, 多媒体,1-89A,,,76,1
财税与公共管理学院,15283,税法,A06,黄桂香,3,蛟桥园校区, 多媒体,2-567,,,76,1
财税与公共管理学院,15283,税法,A07,万莹,3,蛟桥园校区, 多媒体,2-89A,,,76,1
财税与公共管理学院,15283,税法,A08,徐建斌,3,蛟桥园校区, 多媒体,4-567,,,76,1
财税与公共管理学院,15302,行政管理学,A01,何植民,2,蛟桥园校区, 多媒体,3-34,,,0,0
财税与公共管理学院,15323,中国历代官职制度,A01,曾维涛,3,蛟桥园校区, 多媒体,2-567,,,101,0
财税与公共管理学院,15332,政治学原理,B01,黄勇辉,2,麦庐园校区, 多媒体,4-12,,,0,0
财税与公共管理学院,15332,政治学原理,B02,黄勇辉,2,麦庐园校区, 多媒体,4-34,,,0,0
财税与公共管理学院,15382,资产评估,A01,贾宝和,2,蛟桥园校区, 多媒体,2-12,,,77,0
财税与公共管理学院,15382,资产评估,A02,贾宝和,2,蛟桥园校区, 多媒体,3-12,,,77,0
财税与公共管理学院,15382,资产评估,A03,贾宝和,2,蛟桥园校区, 多媒体,4-12,,,77,0
财税与公共管理学院,15424,中国税制,A01,陈荣,4,蛟桥园校区, 多媒体,2-1234,,,76,1
财税与公共管理学院,15424,中国税制,A02,姚林香,4,蛟桥园校区, 多媒体,3-1234,,,76,1
财税与公共管理学院,15424,中国税制,A03,万莹,4,蛟桥园校区, 多媒体,2-1234,,,76,1
财税与公共管理学院,15424,中国税制,A04,席卫群,4,蛟桥园校区, 多媒体,3-1234,,,76,1
财税与公共管理学院,15424,中国税制,A05,黄桂香,4,蛟桥园校区, 多媒体,4-1234,,,76,1
财税与公共管理学院,15424,中国税制,A06,伍云峰,4,蛟桥园校区, 多媒体,2-1234,,,76,1
财税与公共管理学院,15432,国有资产管理,A01,蔡芳宏,2,蛟桥园校区, 多媒体,3-34,,,103,0
财税与公共管理学院,15482,税收会计,A01,黄桂香,2,蛟桥园校区, 多媒体,3-12,,,101,0
财税与公共管理学院,15482,税收会计,A02,黄桂香,2,蛟桥园校区, 多媒体,3-34,,,101,0
财税与公共管理学院,15543,社会保障基金管理,A01,陶纪坤,3,蛟桥园校区, 多媒体,3-89A,,,0,1
财税与公共管理学院,15552,中国财税史,A01,戴丽华,2,蛟桥园校区, 多媒体,3-12,,,76,0
财税与公共管理学院,15552,中国财税史,A02,戴丽华,2,蛟桥园校区, 多媒体,3-34,,,76,0
财税与公共管理学院,15553,社会调查研究方法与应用,A01,吴军民,3,蛟桥园校区, 多媒体,1-567,,,41,1
财税与公共管理学院,15553,社会调查研究方法与应用,A03,吴军民,3,蛟桥园校区, 多媒体,2-123,,,41,1
财税与公共管理学院,15553,社会调查研究方法与应用,A04,吴军民,3,蛟桥园校区, 多媒体,2-567,,,41,1
财税与公共管理学院,15622,员工培训,A01,余桔云,2,蛟桥园校区, 多媒体,1-34,,,0,0
财税与公共管理学院,15672,科学技术发展史,A02,熊小刚,2,蛟桥园校区, 多媒体,2-89,,,101,0
